CONUS_10KM,Precip_5_mm,Precip_6_mm,Precip_7_mm,Precip_8_mm,Precip_10_mm,temp_5_c,temp_6_c,temp_7_c,temp_8_c,temp_10_c
75210,97.0,92.0,83.0,70.0,35.0,16.1,21.900000000000002,25.0,23.700000000000003,11.8
75211,95.0,91.0,82.0,72.0,36.0,16.2,22.0,25.200000000000003,23.8,11.9
75212,95.0,91.0,81.0,74.0,37.0,16.1,21.900000000000002,25.0,23.700000000000003,11.9
75213,95.0,91.0,81.0,76.0,37.0,16.1,21.8,24.900000000000002,23.6,11.8
75214,96.0,91.0,80.0,77.0,37.0,16.1,21.8,24.900000000000002,23.6,11.8
75215,97.0,92.0,80.0,78.0,36.0,16.2,21.8,25.0,23.6,11.8
75216,98.0,93.0,81.0,79.0,36.0,16.0,21.6,24.8,23.400000000000002,11.700000000000001
75217,100.0,93.0,81.0,79.0,36.0,16.2,21.8,24.900000000000002,23.6,11.700000000000001
75218,101.0,92.0,81.0,78.0,37.0,16.3,22.0,25.1,23.700000000000003,11.8
75219,103.0,92.0,82.0,79.0,38.0,16.400000000000002,22.1,25.200000000000003,23.8,11.9
75220,104.0,92.0,82.0,79.0,39.0,16.400000000000002,22.200000000000003,25.200000000000003,23.900000000000002,12.0
75221,105.0,94.0,85.0,81.0,40.0,16.3,22.0,25.0,23.700000000000003,11.9
75222,106.0,95.0,85.0,81.0,42.0,16.3,22.1,25.0,23.8,11.9
75223,106.0,95.0,85.0,82.0,45.0,16.400000000000002,22.1,25.1,23.8,12.0
75224,106.0,96.0,84.0,83.0,47.0,16.5,22.1,25.1,23.8,12.100000000000001
75225,105.0,97.0,84.0,84.0,49.0,16.6,22.1,25.200000000000003,23.700000000000003,12.100000000000001
75226,106.0,99.0,84.0,86.0,50.0,16.6,22.0,25.1,23.8,12.200000000000001
75227,106.0,101.0,85.0,86.0,51.0,16.7,22.1,25.200000000000003,23.900000000000002,12.3
75228,106.0,103.0,87.0,87.0,51.0,16.8,22.1,25.200000000000003,24.0,12.4
75229,106.0,106.0,89.0,89.0,51.0,16.8,22.200000000000003,25.200000000000003,24.0,12.5
75230,106.0,108.0,91.0,92.0,52.0,16.8,22.1,25.3,24.0,12.5
75231,105.0,108.0,91.0,95.0,53.0,16.8,22.200000000000003,25.200000000000003,24.1,12.600000000000001
75232,105.0,109.0,93.0,99.0,53.0,16.7,22.1,25.200000000000003,23.900000000000002,12.5
75233,106.0,109.0,94.0,100.0,53.0,16.8,22.1,25.200000000000003,23.8,12.5
75234,108.0,109.0,94.0,102.0,54.0,16.900000000000002,22.200000000000003,25.200000000000003,23.900000000000002,12.5
75235,109.0,110.0,94.0,103.0,56.0,16.900000000000002,22.400000000000002,25.3,24.0,12.600000000000001
75236,109.0,111.0,95.0,103.0,58.0,17.1,22.5,25.3,24.0,12.5
75237,108.0,112.0,96.0,102.0,60.0,17.2,22.6,25.400000000000002,24.200000000000003,12.600000000000001
75238,107.0,113.0,97.0,103.0,62.0,17.1,22.6,25.400000000000002,24.1,12.600000000000001
75239,108.0,115.0,100.0,104.0,63.0,17.1,22.400000000000002,25.3,24.0,12.5
75240,109.0,116.0,102.0,105.0,64.0,17.0,22.400000000000002,25.1,23.900000000000002,12.5
75241,108.0,116.0,103.0,105.0,63.0,17.3,22.6,25.400000000000002,24.1,12.700000000000001
75242,107.0,115.0,106.0,106.0,64.0,17.400000000000002,22.6,25.400000000000002,24.1,12.700000000000001
75243,107.0,115.0,106.0,105.0,65.0,17.6,22.900000000000002,25.5,24.200000000000003,12.9
75244,109.0,114.0,107.0,106.0,66.0,17.6,22.900000000000002,25.5,24.1,12.8
75245,110.0,114.0,107.0,106.0,67.0,17.8,23.0,25.6,24.1,13.0
75246,110.0,114.0,107.0,107.0,68.0,17.900000000000002,23.0,25.6,24.1,13.0
75247,111.0,114.0,108.0,108.0,69.0,17.8,22.900000000000002,25.400000000000002,23.900000000000002,12.9
75248,111.0,113.0,107.0,107.0,70.0,17.900000000000002,23.0,25.5,23.900000000000002,13.0
75655,80.0,76.0,69.0,51.0,22.0,15.3,20.8,24.200000000000003,22.900000000000002,11.200000000000001
75656,80.0,77.0,70.0,52.0,23.0,15.3,21.0,24.400000000000002,23.1,11.200000000000001
75657,82.0,78.0,71.0,53.0,24.0,15.3,21.0,24.5,23.1,11.200000000000001
75658,84.0,81.0,73.0,54.0,26.0,15.0,20.900000000000002,24.3,23.0,10.9
75659,85.0,83.0,75.0,54.0,26.0,15.100000000000001,21.0,24.5,23.1,11.0
75660,86.0,84.0,76.0,53.0,27.0,15.3,21.200000000000003,24.6,23.3,11.100000000000001
75661,88.0,86.0,78.0,54.0,27.0,15.3,21.200000000000003,24.700000000000003,23.3,11.100000000000001
75662,90.0,88.0,81.0,55.0,28.0,15.200000000000001,21.0,24.6,23.200000000000003,11.0
75663,91.0,90.0,83.0,56.0,29.0,15.100000000000001,20.900000000000002,24.400000000000002,23.1,11.0
75664,91.0,91.0,84.0,58.0,30.0,15.0,20.900000000000002,24.3,23.0,11.0
75665,89.0,90.0,84.0,59.0,30.0,15.4,21.1,24.6,23.3,11.3
75666,88.0,89.0,83.0,60.0,30.0,15.4,21.200000000000003,24.6,23.400000000000002,11.4
75667,88.0,88.0,84.0,62.0,30.0,15.600000000000001,21.3,24.6,23.400000000000002,11.600000000000001
75668,90.0,89.0,84.0,64.0,30.0,15.700000000000001,21.400000000000002,24.700000000000003,23.400000000000002,11.600000000000001
75669,93.0,91.0,84.0,65.0,30.0,15.600000000000001,21.200000000000003,24.5,23.3,11.4
75670,96.0,92.0,84.0,67.0,31.0,15.600000000000001,21.3,24.6,23.200000000000003,11.3
75671,98.0,93.0,83.0,68.0,32.0,15.700000000000001,21.5,24.700000000000003,23.3,11.4
75672,98.0,94.0,83.0,69.0,33.0,15.8,21.6,24.8,23.400000000000002,11.5
75673,97.0,94.0,83.0,70.0,34.0,16.0,21.8,25.0,23.6,11.600000000000001
75674,95.0,93.0,82.0,71.0,35.0,16.2,22.0,25.1,23.8,11.8
75675,95.0,92.0,81.0,73.0,36.0,16.2,22.0,25.1,23.700000000000003,11.9
75676,94.0,92.0,79.0,75.0,36.0,16.2,21.900000000000002,25.0,23.700000000000003,12.0
75677,96.0,94.0,81.0,76.0,37.0,16.0,21.6,24.700000000000003,23.400000000000002,11.700000000000001
75678,98.0,94.0,81.0,77.0,37.0,15.9,21.5,24.6,23.3,11.600000000000001
75679,99.0,94.0,82.0,78.0,37.0,15.9,21.5,24.6,23.3,11.600000000000001
75680,101.0,94.0,83.0,79.0,37.0,15.9,21.5,24.5,23.200000000000003,11.5
75681,103.0,93.0,83.0,79.0,38.0,16.0,21.6,24.700000000000003,23.3,11.600000000000001
75682,104.0,92.0,83.0,79.0,38.0,16.2,21.900000000000002,24.900000000000002,23.6,11.700000000000001
75683,106.0,93.0,84.0,80.0,39.0,16.2,21.900000000000002,24.8,23.6,11.700000000000001
75684,107.0,94.0,85.0,82.0,41.0,16.2,21.900000000000002,24.8,23.5,11.8
75685,107.0,94.0,85.0,82.0,42.0,16.2,21.8,24.8,23.5,11.700000000000001
75686,107.0,95.0,85.0,83.0,45.0,16.3,21.900000000000002,24.900000000000002,23.5,11.9
75687,107.0,96.0,85.0,83.0,47.0,16.400000000000002,21.900000000000002,24.900000000000002,23.5,11.9
75688,106.0,97.0,84.0,83.0,49.0,16.6,22.1,25.0,23.6,12.0
75689,106.0,99.0,84.0,84.0,50.0,16.6,22.0,24.900000000000002,23.700000000000003,12.100000000000001
75690,106.0,101.0,85.0,85.0,50.0,16.7,22.1,25.1,23.900000000000002,12.3
75691,106.0,103.0,86.0,86.0,51.0,16.7,22.1,25.1,23.900000000000002,12.3
75692,106.0,105.0,88.0,87.0,50.0,16.7,22.3,25.3,24.0,12.4
75693,107.0,107.0,90.0,91.0,52.0,16.7,22.200000000000003,25.1,24.0,12.4
75694,106.0,108.0,90.0,94.0,52.0,16.7,22.1,25.200000000000003,24.0,12.5
75695,105.0,108.0,92.0,98.0,53.0,16.6,22.0,25.1,23.8,12.4
75696,106.0,109.0,92.0,99.0,52.0,16.6,22.0,24.900000000000002,23.700000000000003,12.4
75697,108.0,109.0,93.0,101.0,53.0,16.7,22.0,25.0,23.700000000000003,12.4
75698,109.0,110.0,94.0,101.0,54.0,16.8,22.200000000000003,25.1,23.900000000000002,12.5
75699,108.0,110.0,97.0,101.0,57.0,16.900000000000002,22.3,25.0,23.900000000000002,12.5
75700,107.0,110.0,98.0,101.0,59.0,17.0,22.5,25.3,24.1,12.4
75701,107.0,111.0,100.0,102.0,62.0,16.8,22.200000000000003,25.0,23.8,12.3
75702,108.0,111.0,103.0,104.0,63.0,16.8,22.200000000000003,25.0,23.700000000000003,12.3
75703,108.0,112.0,105.0,104.0,63.0,16.900000000000002,22.3,25.0,23.8,12.4
75704,107.0,112.0,106.0,105.0,63.0,17.0,22.400000000000002,25.1,23.900000000000002,12.5
75705,106.0,112.0,107.0,105.0,63.0,17.3,22.700000000000003,25.400000000000002,24.1,12.700000000000001
75706,107.0,112.0,108.0,105.0,65.0,17.400000000000002,22.700000000000003,25.3,23.900000000000002,12.600000000000001
75707,109.0,112.0,109.0,106.0,66.0,17.5,22.700000000000003,25.3,23.900000000000002,12.700000000000001
75708,109.0,112.0,109.0,106.0,67.0,17.5,22.700000000000003,25.200000000000003,23.8,12.700000000000001
75709,109.0,111.0,109.0,106.0,68.0,17.6,22.8,25.3,23.700000000000003,12.700000000000001
75710,109.0,111.0,108.0,106.0,69.0,17.6,22.8,25.200000000000003,23.700000000000003,12.700000000000001
76118,81.0,78.0,70.0,52.0,22.0,15.0,20.5,24.0,22.700000000000003,11.0
76119,81.0,79.0,71.0,53.0,23.0,14.9,20.700000000000003,24.0,22.8,11.0
76120,82.0,80.0,72.0,54.0,24.0,14.8,20.6,24.1,22.8,10.8
76121,83.0,82.0,74.0,55.0,25.0,14.9,20.700000000000003,24.200000000000003,22.8,10.8
76122,84.0,83.0,75.0,55.0,26.0,15.0,20.8,24.3,22.900000000000002,10.8
76123,86.0,86.0,77.0,55.0,27.0,14.8,20.700000000000003,24.200000000000003,22.8,10.700000000000001
76124,87.0,88.0,79.0,55.0,27.0,15.0,20.900000000000002,24.400000000000002,23.0,10.9
76125,89.0,89.0,81.0,55.0,28.0,15.100000000000001,20.900000000000002,24.5,23.1,10.9
76126,89.0,90.0,83.0,55.0,29.0,15.200000000000001,21.0,24.6,23.200000000000003,11.100000000000001
76127,89.0,90.0,83.0,57.0,29.0,15.3,21.1,24.6,23.200000000000003,11.100000000000001
76128,88.0,91.0,83.0,58.0,29.0,15.3,21.1,24.5,23.200000000000003,11.100000000000001
76129,87.0,90.0,82.0,60.0,29.0,15.4,21.1,24.5,23.200000000000003,11.3
76130,87.0,88.0,83.0,62.0,30.0,15.5,21.200000000000003,24.6,23.3,11.5
76131,89.0,89.0,82.0,63.0,29.0,15.700000000000001,21.400000000000002,24.8,23.400000000000002,11.5
76132,92.0,91.0,82.0,64.0,29.0,15.700000000000001,21.400000000000002,24.700000000000003,23.400000000000002,11.4
76133,95.0,93.0,82.0,66.0,29.0,15.700000000000001,21.400000000000002,24.700000000000003,23.3,11.3
76134,97.0,94.0,83.0,67.0,30.0,15.700000000000001,21.400000000000002,24.700000000000003,23.3,11.200000000000001
76135,97.0,94.0,83.0,68.0,32.0,15.8,21.5,24.700000000000003,23.3,11.3
76136,96.0,94.0,83.0,70.0,33.0,15.9,21.700000000000003,24.8,23.400000000000002,11.5
76137,96.0,94.0,82.0,71.0,35.0,16.0,21.700000000000003,24.8,23.5,11.600000000000001
76138,95.0,94.0,81.0,72.0,35.0,16.1,21.8,24.8,23.5,11.700000000000001
76139,96.0,94.0,82.0,74.0,36.0,15.9,21.6,24.6,23.3,11.600000000000001
76140,98.0,95.0,82.0,76.0,37.0,15.8,21.400000000000002,24.400000000000002,23.1,11.600000000000001
76141,99.0,95.0,82.0,77.0,37.0,15.8,21.400000000000002,24.400000000000002,23.1,11.600000000000001
76142,101.0,96.0,83.0,78.0,38.0,15.700000000000001,21.3,24.3,23.0,11.4
76143,102.0,95.0,84.0,79.0,38.0,15.8,21.3,24.400000000000002,23.0,11.4
76144,104.0,94.0,84.0,79.0,38.0,16.0,21.6,24.6,23.200000000000003,11.5
76145,106.0,93.0,84.0,80.0,39.0,16.0,21.6,24.6,23.3,11.5
76146,107.0,93.0,84.0,81.0,39.0,16.0,21.700000000000003,24.700000000000003,23.3,11.600000000000001
76147,108.0,93.0,84.0,82.0,40.0,16.1,21.8,24.700000000000003,23.3,11.700000000000001
76148,108.0,94.0,85.0,82.0,42.0,16.2,21.8,24.700000000000003,23.3,11.700000000000001
76149,108.0,96.0,85.0,83.0,44.0,16.2,21.900000000000002,24.700000000000003,23.400000000000002,11.8
76150,107.0,96.0,84.0,82.0,46.0,16.400000000000002,22.0,24.900000000000002,23.6,11.9
76151,106.0,97.0,84.0,82.0,48.0,16.5,22.0,24.8,23.6,12.0
76152,105.0,98.0,83.0,82.0,49.0,16.6,22.200000000000003,25.0,23.700000000000003,12.100000000000001
76153,106.0,101.0,85.0,84.0,50.0,16.5,22.0,25.0,23.8,12.200000000000001
76154,106.0,102.0,86.0,85.0,50.0,16.6,22.0,24.900000000000002,23.8,12.200000000000001
76155,107.0,104.0,86.0,86.0,51.0,16.6,22.0,24.900000000000002,23.8,12.3
76156,107.0,106.0,86.0,89.0,52.0,16.6,22.0,24.900000000000002,23.8,12.3
76157,107.0,107.0,87.0,92.0,52.0,16.5,22.0,24.900000000000002,23.8,12.3
76158,106.0,108.0,88.0,95.0,52.0,16.5,22.0,24.900000000000002,23.700000000000003,12.4
76159,106.0,109.0,90.0,97.0,52.0,16.6,22.0,25.0,23.700000000000003,12.4
76160,107.0,110.0,91.0,99.0,52.0,16.6,22.0,24.900000000000002,23.700000000000003,12.4
76161,107.0,110.0,94.0,99.0,54.0,16.8,22.200000000000003,25.0,23.8,12.5
76162,107.0,109.0,96.0,99.0,56.0,16.900000000000002,22.3,25.1,24.0,12.5
76163,107.0,109.0,99.0,100.0,59.0,16.8,22.3,25.1,23.900000000000002,12.4
76164,107.0,109.0,101.0,101.0,61.0,16.7,22.200000000000003,24.900000000000002,23.700000000000003,12.3
76165,107.0,108.0,103.0,102.0,62.0,16.8,22.3,25.0,23.700000000000003,12.3
76166,108.0,109.0,106.0,104.0,63.0,16.8,22.3,25.0,23.8,12.3
76167,108.0,109.0,107.0,104.0,63.0,16.900000000000002,22.3,25.1,23.700000000000003,12.4
76168,107.0,110.0,109.0,105.0,64.0,17.0,22.400000000000002,25.1,23.700000000000003,12.3
76169,108.0,110.0,109.0,105.0,65.0,17.2,22.5,25.1,23.700000000000003,12.5
76170,109.0,111.0,110.0,105.0,66.0,17.400000000000002,22.6,25.200000000000003,23.8,12.5
76171,109.0,110.0,110.0,105.0,66.0,17.5,22.8,25.200000000000003,23.8,12.700000000000001
76172,108.0,110.0,109.0,104.0,67.0,17.7,22.900000000000002,25.400000000000002,23.8,12.700000000000001
76173,108.0,110.0,108.0,104.0,68.0,17.7,22.900000000000002,25.3,23.8,12.700000000000001
76581,81.0,79.0,71.0,52.0,22.0,14.8,20.5,23.8,22.6,10.8
76582,81.0,80.0,71.0,53.0,23.0,14.8,20.6,23.900000000000002,22.6,10.8
76583,81.0,81.0,72.0,54.0,24.0,14.8,20.6,24.0,22.700000000000003,10.8
76584,82.0,82.0,73.0,55.0,25.0,14.8,20.6,24.1,22.8,10.700000000000001
76585,83.0,84.0,75.0,55.0,26.0,14.8,20.700000000000003,24.200000000000003,22.700000000000003,10.600000000000001
76586,85.0,87.0,77.0,56.0,26.0,14.600000000000001,20.5,24.0,22.6,10.5
76587,87.0,89.0,80.0,56.0,27.0,14.700000000000001,20.5,24.1,22.700000000000003,10.600000000000001
76588,88.0,91.0,82.0,55.0,28.0,14.9,20.6,24.200000000000003,22.8,10.8
76589,89.0,92.0,83.0,56.0,28.0,15.0,20.8,24.3,23.0,10.9
76590,88.0,92.0,83.0,56.0,28.0,15.0,20.8,24.3,22.900000000000002,10.9
76591,87.0,92.0,83.0,58.0,29.0,15.100000000000001,20.8,24.3,23.0,10.9
76592,87.0,92.0,82.0,60.0,29.0,15.0,20.700000000000003,24.200000000000003,22.8,10.9
76593,87.0,90.0,81.0,62.0,29.0,15.3,21.0,24.400000000000002,23.0,11.100000000000001
76594,89.0,92.0,82.0,63.0,29.0,15.3,21.0,24.400000000000002,23.0,11.100000000000001
76595,91.0,93.0,82.0,65.0,29.0,15.5,21.1,24.400000000000002,23.0,11.100000000000001
76596,93.0,94.0,82.0,66.0,29.0,15.5,21.200000000000003,24.400000000000002,23.0,11.0
76597,95.0,95.0,82.0,67.0,29.0,15.600000000000001,21.3,24.5,23.1,11.0
76598,96.0,94.0,82.0,67.0,31.0,15.9,21.6,24.8,23.400000000000002,11.3
76599,95.0,94.0,82.0,69.0,32.0,16.0,21.8,24.8,23.5,11.4
76600,96.0,95.0,82.0,70.0,34.0,15.9,21.6,24.6,23.3,11.4
76601,96.0,95.0,82.0,71.0,35.0,15.9,21.6,24.5,23.200000000000003,11.5
76602,96.0,95.0,83.0,73.0,36.0,15.8,21.400000000000002,24.400000000000002,23.1,11.5
76603,98.0,96.0,84.0,74.0,37.0,15.700000000000001,21.3,24.200000000000003,22.900000000000002,11.5
76604,100.0,97.0,83.0,76.0,38.0,15.700000000000001,21.200000000000003,24.3,22.900000000000002,11.600000000000001
76605,101.0,97.0,83.0,77.0,38.0,15.700000000000001,21.200000000000003,24.3,22.900000000000002,11.5
76606,103.0,96.0,84.0,78.0,38.0,15.9,21.3,24.3,23.0,11.4
76607,105.0,95.0,85.0,79.0,38.0,15.9,21.400000000000002,24.3,23.1,11.4
76608,106.0,94.0,85.0,80.0,39.0,15.9,21.6,24.5,23.200000000000003,11.5
76609,107.0,95.0,85.0,80.0,39.0,16.0,21.6,24.6,23.200000000000003,11.5
76610,108.0,94.0,84.0,81.0,40.0,16.2,21.900000000000002,24.8,23.400000000000002,11.700000000000001
76611,109.0,94.0,84.0,82.0,41.0,16.3,21.900000000000002,24.8,23.400000000000002,11.700000000000001
76612,109.0,96.0,85.0,82.0,43.0,16.400000000000002,21.900000000000002,24.8,23.400000000000002,11.8
76613,108.0,97.0,84.0,81.0,45.0,16.400000000000002,22.0,24.900000000000002,23.5,11.9
76614,107.0,98.0,84.0,80.0,47.0,16.5,22.0,24.8,23.5,11.9
76615,106.0,99.0,84.0,81.0,48.0,16.400000000000002,21.900000000000002,24.8,23.400000000000002,11.9
76616,106.0,101.0,84.0,81.0,48.0,16.5,21.8,24.700000000000003,23.5,12.0
76617,107.0,103.0,85.0,83.0,49.0,16.5,22.0,24.8,23.5,12.100000000000001
76618,107.0,105.0,85.0,86.0,50.0,16.6,22.0,24.8,23.700000000000003,12.100000000000001
76619,107.0,106.0,85.0,88.0,51.0,16.6,22.0,24.900000000000002,23.6,12.200000000000001
76620,107.0,107.0,86.0,91.0,51.0,16.6,22.0,24.8,23.700000000000003,12.3
76621,107.0,109.0,86.0,93.0,51.0,16.6,21.900000000000002,24.8,23.6,12.3
76622,106.0,110.0,87.0,95.0,51.0,16.7,22.0,25.0,23.8,12.5
76623,106.0,111.0,89.0,96.0,51.0,16.8,22.1,25.0,23.900000000000002,12.5
76624,106.0,111.0,92.0,97.0,53.0,16.8,22.200000000000003,25.200000000000003,23.900000000000002,12.600000000000001
76625,106.0,110.0,96.0,98.0,56.0,16.7,22.1,24.900000000000002,23.8,12.4
76626,106.0,108.0,99.0,98.0,59.0,16.7,22.200000000000003,25.0,23.8,12.3
76627,106.0,107.0,101.0,100.0,61.0,16.7,22.1,25.0,23.700000000000003,12.200000000000001
76628,107.0,106.0,103.0,101.0,62.0,16.7,22.200000000000003,24.900000000000002,23.700000000000003,12.200000000000001
76629,107.0,106.0,106.0,102.0,62.0,16.900000000000002,22.400000000000002,25.0,23.8,12.3
76630,108.0,107.0,108.0,103.0,62.0,16.900000000000002,22.400000000000002,25.1,23.8,12.3
76631,108.0,107.0,109.0,104.0,64.0,16.900000000000002,22.400000000000002,25.0,23.6,12.200000000000001
76632,108.0,108.0,110.0,105.0,65.0,17.0,22.400000000000002,25.0,23.6,12.3
76633,108.0,109.0,110.0,104.0,65.0,17.3,22.700000000000003,25.200000000000003,23.8,12.5
76634,109.0,110.0,111.0,105.0,66.0,17.3,22.6,25.1,23.6,12.5
76635,108.0,109.0,109.0,104.0,67.0,17.6,22.900000000000002,25.3,23.700000000000003,12.600000000000001
77044,82.0,79.0,70.0,51.0,21.0,14.700000000000001,20.400000000000002,23.8,22.400000000000002,10.700000000000001
77045,81.0,80.0,71.0,52.0,22.0,14.8,20.5,23.900000000000002,22.6,10.700000000000001
77046,81.0,81.0,71.0,54.0,23.0,14.8,20.5,24.0,22.700000000000003,10.700000000000001
77047,81.0,82.0,72.0,55.0,25.0,14.8,20.700000000000003,24.1,22.8,10.700000000000001
77048,82.0,84.0,75.0,56.0,26.0,14.5,20.400000000000002,23.900000000000002,22.5,10.4
77049,84.0,87.0,77.0,56.0,26.0,14.5,20.400000000000002,23.900000000000002,22.5,10.4
